"Sample_number" "Speaker" "Vowel" "Context" "F*1" "F*2" "F*1 gl" "F*2 gl"
"1" 1 "o" NA 488.237 1174.454 NA NA
"2" 1 "e" NA 424.911 1523.522 NA NA
"3" 1 "e" NA 440.76 1391.502 NA NA
"4" 1 "e" NA 472.388 1708.746 NA NA
"5" 1 "e" NA 516.169 1489.957 NA NA
"6" 1 "e" NA 438.913 1550.124 NA NA
"7" 1 "e" NA 310.483 1691.094 NA NA
"8" 1 "e" NA 530.1 1535.953 NA NA
"9" 1 "e" NA 390.512 1844.246 NA NA
"10" 1 "e" NA 268.621 1596.12 NA NA
"11" 1 "e" NA 270.469 1972.785 NA NA
"12" 1 "o" NA 480.775 2250 NA NA
"13" 1 "o" NA 290.014 1428.796 NA NA
"14" 1 "e" NA 399.822 1557.334 NA NA
"15" 1 "e" NA 487.313 1638.883 NA NA
"16" 1 "e" NA 407.285 1806.207 NA NA
"17" 1 "e" NA 444.456 1754.742 NA NA
"18" 1 "e" NA 365.352 1474.045 NA NA
"19" 1 "e" NA 313.255 1535.207 NA NA
"20" 1 "e" NA 428.678 1768.913 NA NA
"21" 1 "e" NA 419.367 1364.9 NA NA
"22" 1 "e" NA 426.83 1372.11 NA NA
"23" 1 "e" NA 386.816 1699.796 NA NA
"24" 1 "e" NA 391.436 1750.515 NA NA
"25" 1 "e" NA 334.648 1541.422 NA NA
"26" 1 "e" NA 471.464 1744.299 NA NA
"27" 1 "o" NA 374.662 1285.34 NA NA
"28" 1 "e" NA 350.498 1529.737 NA NA
"29" 1 "e" NA 497.548 908.675 NA NA
"30" 1 "e" NA 401.67 1870.849 NA NA
"31" 1 "o" NA 464.996 1298.517 NA NA
"32" 1 "e" NA 328.181 1679.409 NA NA
"33" 1 "e" NA 319.794 1864.633 NA NA
"34" 1 "o" NA 429.602 991.964 NA NA
"35" 1 "e" NA 477.079 1691.84 NA NA
"36" 1 "e" NA 267.626 1579.462 NA NA
"37" 1 "e" NA 343.959 1504.129 NA NA
"38" 1 "e" NA 250 1606.811 NA NA
"39" 1 "e" NA 349.574 1642.364 NA NA
"40" 1 "e" NA 437.065 1929.275 NA NA
"41" 1 "e" NA 543.177 1638.883 NA NA
"42" 1 "o" NA 478.927 1429.79 NA NA
"43" 1 "e" NA 449.147 1665.237 NA NA
"44" 1 "e" NA 383.049 1642.364 NA NA
"45" 1 "e" NA 443.532 1924.054 NA NA
"46" 1 "e" NA 476.155 1607.805 NA NA
"47" 1 "e" NA 496.624 1582.943 NA NA
"48" 1 "e" NA 490.085 1317.91 NA NA
"49" 1 "e" NA 455.686 1535.207 NA NA
"50" 1 "e" NA 450.071 1485.482 NA NA
"51" 1 "o" NA 393.284 863.426 NA NA
"52" 1 "e" NA 437.989 1739.824 NA NA
"53" 1 "e" NA 410.057 1504.875 NA NA
"54" 1 "e" NA 410.981 1281.611 NA NA
"55" 1 "e" NA 469.616 1766.427 NA NA
"56" 1 "e" NA 454.762 1664.491 NA NA
"57" 2 "e" NA 377.647 1643.607 NA NA
"58" 2 "e" NA 471.038 1819.632 NA NA
"59" 2 "e" NA 381.699 1698.801 NA NA
"60" 2 "e" NA 389.73 1610.043 NA NA
"61" 2 "e" NA 334.506 1610.043 NA NA
"62" 2 "e" NA 397.761 1695.321 NA NA
"63" 2 "e" NA 442.893 1488.217 NA NA
"64" 2 "e" NA 311.407 1529.986 NA NA
"65" 2 "e" NA 335.501 1892.479 NA NA
"66" 2 "e" NA 379.638 1858.666 NA NA
"67" 2 "e" NA 322.424 1624.96 NA NA
"68" 2 "e" NA 529.247 1655.292 NA NA
"69" 2 "e" NA 356.61 1642.861 NA NA
"70" 2 "e" NA 426.83 1633.165 NA NA
"71" 2 "e" NA 427.825 1841.014 NA NA
"72" 2 "e" NA 333.511 1352.22 NA NA
"73" 2 "e" NA 541.258 1681.895 NA NA
"74" 2 "e" NA 414.819 1562.804 NA NA
"75" 2 "o" NA 373.667 911.659 NA NA
"76" 2 "e" NA 329.46 1661.508 NA NA
"77" 2 "e" NA 480.064 1375.342 NA NA
"78" 2 "e" NA 414.819 1778.858 NA NA
"79" 2 "e" NA 328.465 1625.955 NA NA
"80" 2 "o" NA 453.98 906.189 NA NA
"81" 2 "e" NA 339.481 1449.929 NA NA
"82" 2 "e" NA 307.356 1828.583 NA NA
"83" 2 "e" NA 362.58 1790.295 NA NA
"84" 2 "o" NA 534.293 876.851 NA NA
"85" 2 "e" NA 419.794 1605.567 NA NA
"86" 2 "e" NA 442.893 1712.973 NA NA
"87" 2 "o" NA 456.965 1131.193 NA NA
"88" 2 "e" NA 468.977 1740.57 NA NA
"89" 2 "e" NA 454.975 1722.918 NA NA
"90" 2 "e" NA 354.549 1570.76 NA NA
"91" 2 "o" NA 509.133 1195.09 NA NA
"92" 2 "e" NA 547.299 1564.544 NA NA
"93" 2 "e" NA 506.148 1576.23 NA NA
"94" 2 "e" NA 526.262 1718.443 NA NA
"95" 2 "e" NA 357.605 1552.113 NA NA
"96" 2 "e" NA 340.547 1746.786 NA NA
"97" 2 "e" NA 453.98 1690.845 NA NA
"98" 3 "o" NA 444.527 1181.664 NA NA
"99" 3 "o" NA 511.052 1112.049 NA NA
"100" 3 "o" NA 305.65 1413.381 NA NA
"101" 3 "o" NA 443.532 1193.349 NA NA
"102" 3 "e" NA 473.596 1861.898 NA NA
"103" 3 "e" NA 406.006 1712.227 NA NA
"104" 3 "e" NA 491.365 1886.761 NA NA
"105" 3 "e" NA 350.711 1282.854 NA NA
"106" 3 "o" NA 333.795 1214.482 NA NA
"107" 3 "o" NA 336.638 1331.584 NA NA
"108" 3 "e" NA 318.799 1061.579 NA NA
"109" 3 "e" NA 289.73 1785.82 NA NA
"110" 3 "e" NA 342.253 1775.626 NA NA
"111" 3 "e" NA 364.783 1801.731 NA NA
"112" 3 "e" NA 338.486 1822.119 NA NA
"113" 3 "e" NA 466.063 1804.964 NA NA
"114" 3 "e" NA 436.994 1711.481 NA NA
"115" 3 "e" NA 425.764 1705.763 NA NA
"116" 3 "e" NA 341.329 1571.506 NA NA
"117" 3 "e" NA 527.967 1699.299 NA NA
"118" 3 "e" NA 503.589 1748.526 NA NA
