Falante Vogal F1 F2
1 o 488.237 1174.454
1 e 424.911 1523.522
1 e 440.76 1391.502
1 e 472.388 1708.746
1 e 516.169 1489.957
1 e 438.913 1550.124
1 e 310.483 1691.094
1 e 530.1 1535.953
1 e 390.512 1844.246
1 e 268.621 1596.12
1 e 270.469 1972.785
1 o 480.775 2250.0
1 o 290.014 1428.796
1 e 399.822 1557.334
1 e 487.313 1638.883
1 e 407.285 1806.207
1 e 444.456 1754.742
1 e 365.352 1474.045
1 e 313.255 1535.207
1 e 428.678 1768.913
1 e 419.367 1364.9
1 e 426.83 1372.11
1 e 386.816 1699.796
1 e 391.436 1750.515
1 e 334.648 1541.422
1 e 471.464 1744.299
1 o 374.662 1285.34
1 e 350.498 1529.737
1 e 497.548 908.675
1 e 401.67 1870.849
1 o 464.996 1298.517
1 e 328.181 1679.409
1 e 319.794 1864.633
1 o 429.602 991.964
1 e 477.079 1691.84
1 e 267.626 1579.462
1 e 343.959 1504.129
1 e 250.0 1606.811
1 e 349.574 1642.364
1 e 437.065 1929.275
1 e 543.177 1638.883
1 o 478.927 1429.79
1 e 449.147 1665.237
1 e 383.049 1642.364
1 e 443.532 1924.054
1 e 476.155 1607.805
1 e 496.624 1582.943
1 e 490.085 1317.91
1 e 455.686 1535.207
1 e 450.071 1485.482
1 o 393.284 863.426
1 e 437.989 1739.824
1 e 410.057 1504.875
1 e 410.981 1281.611
1 e 469.616 1766.427
1 e 454.762 1664.491
2 e 377.647 1643.607
2 e 471.038 1819.632
2 e 381.699 1698.801
2 e 389.73 1610.043
2 e 334.506 1610.043
2 e 397.761 1695.321
2 e 442.893 1488.217
2 e 311.407 1529.986
2 e 335.501 1892.479
2 e 379.638 1858.666
2 e 322.424 1624.96
2 e 529.247 1655.292
2 e 356.61 1642.861
2 e 426.83 1633.165
2 e 427.825 1841.014
2 e 333.511 1352.22
2 e 541.258 1681.895
2 e 414.819 1562.804
2 o 373.667 911.659
2 e 329.46 1661.508
2 e 480.064 1375.342
2 e 414.819 1778.858
2 e 328.465 1625.955
2 o 453.98 906.189
2 e 339.481 1449.929
2 e 307.356 1828.583
2 e 362.58 1790.295
2 o 534.293 876.851
2 e 419.794 1605.567
2 e 442.893 1712.973
2 o 456.965 1131.193
2 e 468.977 1740.57
2 e 454.975 1722.918
2 e 354.549 1570.76
2 o 509.133 1195.09
2 e 547.299 1564.544
2 e 506.148 1576.23
2 e 526.262 1718.443
2 e 357.605 1552.113
2 e 340.547 1746.786
2 e 453.98 1690.845
3 o 444.527 1181.664
3 o 511.052 1112.049
3 o 305.65 1413.381
3 o 443.532 1193.349
3 e 473.596 1861.898
3 e 406.006 1712.227
3 e 491.365 1886.761
3 e 350.711 1282.854
3 o 333.795 1214.482
3 o 336.638 1331.584
3 e 318.799 1061.579
3 e 289.73 1785.82
3 e 342.253 1775.626
3 e 364.783 1801.731
3 e 338.486 1822.119
3 e 466.063 1804.964
3 e 436.994 1711.481
3 e 425.764 1705.763
3 e 341.329 1571.506
3 e 527.967 1699.299
3 e 503.589 1748.526
3 e 387.313 1673.193
3 e 276.581 1882.286
3 o 405.082 1442.222
3 e 422.921 1838.776
3 o 347.868 1312.937
3 e 343.177 1423.575
3 e 416.382 1855.434
3 o 407.925 1270.671
3 o 373.241 1404.431
3 e 481.059 1874.578
3 o 397.619 1166.498
3 o 383.547 1222.19
3 e 425.764 1630.927
3 e 526.119 1918.087
3 e 317.875 1744.051
3 e 454.833 1833.804
3 o 512.971 1515.068
3 e 484.826 1558.578
3 e 489.517 1506.118
3 e 391.009 1635.402
3 o 512.047 1360.176
3 e 512.971 1628.441
3 e 481.983 1651.314
3 e 336.638 1615.015
3 e 461.372 1806.953
4 e 383.831 1535.704
4 e 479.78 1606.562
4 e 457.321 1531.478
4 e 479.78 1539.931
4 o 498.117 1388.768
4 e 344.03 1418.354
4 o 382.836 1031.495
4 e 358.316 1945.187
4 e 499.183 1758.72
4 e 373.596 1467.333
4 e 492.004 1635.402
4 e 396.055 1755.239
4 e 351.208 1715.459
4 e 394.065 1759.465
4 o 382.836 1225.67
4 e 363.433 1713.967
4 o 366.489 1229.897
4 e 356.254 1712.973
4 o 449.147 1264.704
4 o 503.234 1189.371
4 o 373.596 850.0
4 e 371.606 1889.496
4 e 310.341 1793.278
4 o 395.06 1946.182
4 e 328.749 1569.517
4 e 308.351 1878.556
4 e 345.025 1928.281
4 o 425.693 1175.946
4 e 340.974 1570.263
4 e 476.724 1892.976
4 e 378.714 1565.29
4 e 263.433 1976.514
4 e 356.254 1666.48
4 e 443.035 1616.755
4 o 511.407 1450.426
4 e 495.06 1640.375
4 o 527.754 1451.172
4 e 348.152 1642.861
4 e 337.918 1818.638
4 e 359.311 1627.695
4 o 429.744 1341.529
4 e 505.295 1580.456
4 e 443.035 1746.786
4 e 331.805 1457.139
4 o 544.03 1204.786
4 o 385.892 1432.774
4 e 513.468 1549.13
4 e 430.81 1741.813
4 e 536.923 1577.97
4 o 506.29 1145.614
4 e 522.637 1507.858
4 o 465.494 1195.338
4 e 332.8 1743.305
4 e 328.749 1795.765
4 e 330.739 1619.242
4 e 477.719 1676.674
4 e 436.923 1795.019
4 e 429.744 1861.65
5 e 372.246 1516.311
5 e 440.263 1723.166
5 e 395.7 1670.21
5 e 446.162 1574.738
5 e 439.126 1548.384
5 e 358.173 1932.508
5 e 315.956 1117.022
5 e 418.017 1405.674
5 e 493.07 1779.355
5 e 450.853 1753.747
5 e 514.179 1695.818
5 e 416.809 1811.428
5 e 437.918 1702.282
5 o 303.021 1007.13
5 o 387.527 1438.492
5 o 418.017 1282.108
5 o 443.817 1201.305
5 o 391.009 1491.449
5 o 392.217 1230.146
5 o 437.918 1172.465
5 o 419.154 1237.356
5 e 356.965 1847.478
5 e 327.683 1860.407
5 o 470.824 1274.152
5 e 331.166 1783.333
5 o 287.74 1440.233
5 e 361.656 1853.942
5 o 478.998 1191.609
5 e 490.725 1567.528
5 e 457.889 1611.037
5 e 408.635 1737.587
5 o 401.599 1518.052
5 e 428.536 1724.907
5 e 421.5 1926.043
5 e 389.872 1497.167
5 e 373.383 1987.702
5 o 444.954 1265.45
5 e 469.616 1501.145
5 e 436.78 1658.276
5 e 423.845 1691.094
5 e 389.872 1705.514
5 e 448.507 1937.231
5 e 386.318 1512.334
5 e 356.965 1783.333
5 e 364.001 1810.682
5 e 310.057 1890.739
5 e 425.053 1521.035
5 o 358.173 1251.03
